# Chimera Neural Network - Saved Model
# W, layer, from, to, weight
# B, layer, neuron, bias
W,0,1,90,0.46800745
W,0,1,91,-0.00905415
W,0,1,92,0.05426406
W,0,1,93,-0.17784864
W,0,1,94,0.21867613
W,0,1,95,0.37186131
W,0,1,96,0.35903668
W,0,1,97,0.22276352
W,0,1,98,0.19747011
W,0,1,99,-0.26745409
W,0,1,100,0.04997003
W,0,1,101,-0.03560020
W,0,1,102,-0.32031047
W,0,1,103,0.04484240
W,0,1,104,0.06118412
W,0,1,105,-0.05070287
W,0,1,106,0.25923845
W,0,1,107,-0.27446759
W,0,1,108,-0.05832608
W,0,1,109,0.12285075
W,0,1,110,-0.02245437
W,0,1,111,-0.35759258
W,0,1,112,-0.06347795
W,0,1,113,-0.25516292
W,0,1,114,-0.00022763
W,0,1,115,-0.37885052
W,0,1,116,-0.10864524
W,0,1,117,0.01394049
W,0,1,118,0.10336851
W,0,1,119,-0.01936688
W,0,1,120,0.15073396
W,0,1,121,0.07478417
W,0,1,122,-0.32369378
W,0,1,123,-0.19905542
W,0,1,124,-0.12488436
W,0,1,125,-0.15273030
W,0,1,126,0.03404473
W,0,1,127,-0.04095558
W,0,2,0,0.35762647
W,0,2,1,-0.18970801
W,0,2,2,-0.26800752
W,0,2,3,-0.18067746
W,0,2,4,-0.30119857
W,0,2,5,-0.15425190
W,0,2,6,0.22869720
W,0,2,7,-0.09566867
W,0,2,8,0.04409022
W,0,2,9,0.15670133
W,0,2,10,0.09824625
W,0,2,11,-0.15676068
W,0,2,12,-0.05378152
W,0,2,13,0.19654970
W,0,2,14,0.11900694
W,0,2,15,0.09543734
W,0,2,16,-0.12714066
W,0,2,17,-0.01221920
W,0,2,18,0.19040690
W,0,2,19,0.13977185
W,0,2,20,0.04062805
W,0,2,21,-0.18257104
W,0,2,22,-0.05711450
W,0,2,23,-0.05764052
W,0,2,24,-0.30228883
W,0,2,25,-0.01062612
W,0,2,26,0.42215690
W,0,2,27,-0.08758887
W,0,2,28,0.02456408
W,0,2,29,-0.08808033
W,0,2,30,0.13573878
W,0,2,31,0.04358965
W,0,2,32,-0.04760940
W,0,2,33,-0.02492979
W,0,2,34,0.09967460
W,0,2,35,-0.03892588
W,0,2,36,-0.00148064
W,0,2,37,0.24578851
W,0,2,38,0.15270442
W,0,2,39,-0.12205966
W,0,2,40,0.34981540
W,0,2,41,-0.13469946
W,0,2,42,0.07756907
W,0,2,43,0.04603393
W,0,2,44,0.37478489
W,0,2,45,-0.29730558
W,0,2,46,-0.14435259
W,0,2,47,-0.20378363
W,0,2,48,-0.09485893
W,0,2,49,-0.05733060
W,0,2,50,-0.00037944
W,0,2,51,0.01262452
W,0,2,52,0.11048851
W,0,2,53,-0.14676987
W,0,2,54,-0.00833594
W,0,2,55,-0.24477340
W,0,2,56,-0.06607322
W,0,2,57,0.13915733
W,0,2,58,-0.04116313
W,0,2,59,-0.01152248
W,0,2,60,-0.28140411
W,0,2,61,0.28814659
W,0,2,62,0.10161247
W,0,2,63,-0.17685714
W,0,2,64,-0.32016531
W,0,2,65,0.27648893
W,0,2,66,-0.01067459
W,0,2,67,0.02438213
W,0,2,68,0.00358687
W,0,2,69,0.16759141
W,0,2,70,-0.20036675
W,0,2,71,0.07396036
W,0,2,72,-0.16171148
W,0,2,73,0.03350600
W,0,2,74,0.23668370
W,0,2,75,0.00337992
W,0,2,76,-0.16514270
W,0,2,77,-0.11374316
W,0,2,78,-0.23553634
W,0,2,79,0.06340189
W,0,2,80,-0.01725985
W,0,2,81,0.07897481
W,0,2,82,-0.19066328
W,0,2,83,-0.08096253
W,0,2,84,0.05281606
W,0,2,85,0.05313933
W,0,2,86,-0.18123010
W,0,2,87,0.09461755
W,0,2,88,-0.13606337
W,0,2,89,0.01515454
W,0,2,90,0.25781286
W,0,2,91,-0.02066694
W,0,2,92,0.36089590
W,0,2,93,0.24147604
W,0,2,94,-0.16885579
W,0,2,95,0.36196059
W,0,2,96,-0.08300570
W,0,2,97,0.00661533
W,0,2,98,-0.27464882
W,0,2,99,-0.03110976
W,0,2,100,0.10096750
W,0,2,101,0.11034376
W,0,2,102,0.21031590
W,0,2,103,0.01491145
W,0,2,104,-0.10283144
W,0,2,105,0.40048113
W,0,2,106,0.11279953
W,0,2,107,0.00521392
W,0,2,108,0.31874359
W,0,2,109,0.18736695
W,0,2,110,-0.13018547
W,0,2,111,-0.07007199
W,0,2,112,0.25195959
W,0,2,113,-0.02285108
W,0,2,114,-0.09988898
W,0,2,115,-0.18885256
W,0,2,116,0.16975398
W,0,2,117,-0.46753019
W,0,2,118,0.07474791
W,0,2,119,-0.11054122
W,0,2,120,-0.33345297
W,0,2,121,0.13616848
W,0,2,122,-0.04155067
W,0,2,123,0.02733194
W,0,2,124,0.15702857
W,0,2,125,-0.08040418
W,0,2,126,0.08662904
W,0,2,127,-0.17169805
W,0,3,0,0.05858942
W,0,3,1,0.10559396
W,0,3,2,-0.15334311
W,0,3,3,-0.02535712
W,0,3,4,-0.04341389
W,0,3,5,-0.06432158
W,0,3,6,-0.19976941
W,0,3,7,0.00227200
W,0,3,8,-0.21422565
W,0,3,9,0.06369696
W,0,3,10,0.12421343
W,0,3,11,-0.21677853
W,0,3,12,0.07314337
W,0,3,13,0.26919928
W,0,3,14,-0.08629413
W,0,3,15,0.20231248
W,0,3,16,0.05753236
